"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr955","GBIF repatriados | Field Museum of Natural History of Chicago | CC0 1.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Grant S, Webbink K, Griffin-Jakymec K (2023). Field Museum of Natural History (Zoology) Invertebrate Collection. Version 18.33. Field Museum. Occurrence dataset https://doi.org/10.15468/6q5vuc accessed via GBIF.org on 2023-07-25. Grant S, Webbink K, Marks B (2022). Field Museum of Natural History (Zoology) Bird Collection. Version 14.21. Field Museum. Occurrence dataset https://doi.org/10.15468/exkxdx accessed via GBIF.org on 2023-07-25. Grant S, Webbink K, Jones J, Ferguson A (2020). Field Museum of Natural History (Zoology) Mammal Collection. Version 9.18. Field Museum. Occurrence dataset https://doi.org/10.15468/n4zgxw accessed via GBIF.org on 2023-07-25. Grant S, Webbink K, Marks B (2022). Field Museum of Natural History (Zoology) Bird Egg Collection. Version 2.7. Field Museum. Occurrence dataset https://doi.org/10.15468/uqsgv2 accessed via GBIF.org on 2023-07-25. Webbink K, Mayer P (2019). Field Museum of Natural History (Geology) Fossil Invertebrates Collection. Version 1.7. Field Museum. Occurrence dataset https://doi.org/10.15468/cjabhe accessed via GBIF.org on 2023-07-25. Webbink K, Herrera F (2022). Field Museum of Natural History (Geology) Paleobotany Collection. Version 1.15. Field Museum. Occurrence dataset https://doi.org/10.15468/uuvlm6 accessed via GBIF.org on 2023-07-25. Grant S, Webbink K, Turcatel M, Shuman R (2023). Field Museum of Natural History (Zoology) Insect, Arachnid and Myriapod Collection. Version 12.54. Field Museum. Occurrence dataset https://doi.org/10.15468/0ywfpc accessed via GBIF.org on 2023-07-25. Grant S, Webbink K, von Konrat M (2022). Field Museum of Natural History (Botany) Fungi Collection. Version 4.12. Field Museum. Occurrence dataset https://doi.org/10.15468/x2hjnp accessed via GBIF.org on 2023-07-25. Grant S, Webbink K, von Konrat M (2022). Field Museum of Natural History (Botany) Bryophyte Collection. Version 11.9. Field Museum. Occurrence dataset https://doi.org/10.15468/pyjtoc accessed via GBIF.org on 2023-07-25. Grant S, von Konrat M (2022). Field Museum of Natural History (Botany) Seed Plant Collection. Version 11.14. Field Museum. Occurrence dataset https://doi.org/10.15468/nxnqzf accessed via GBIF.org on 2023-07-25. Grant S, von Konrat M (2020). Field Museum of Natural History (Botany) Pteridophyte Collection. Version 2.9. Field Museum. Occurrence dataset https://doi.org/10.15468/4nodxs accessed via GBIF.org on 2023-07-25. Grant S, Webbink K, von Konrat M (2022). Field Museum of Natural History (Botany) Lichen Collection. Version 2.15. Field Museum. Occurrence dataset https://doi.org/10.15468/sc258x accessed via GBIF.org on 2023-07-25. Grant S, Webbink K, McMahan C (2022). Field Museum of Natural History (Zoology) Fish Collection. Version 13.13. Field Museum. Occurrence dataset https://doi.org/10.15468/alz7wu accessed via GBIF.org on 2023-07-25. Grant S, Webbink K, Resetar A (2023). Field Museum of Natural History (Zoology) Amphibian and Reptile Collection. Version 12.9. Field Museum. Occurrence dataset https://doi.org/10.15468/u2pzhj accessed via GBIF.org on 2023-07-25.","other Dataset: Field Museum of Natural History (Zoology) Invertebrate Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Zoology) Bird Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Zoology) Mammal Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Zoology) Bird Egg Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Geology) Fossil Invertebrates Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Geology) Paleobotany Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Zoology) Insect, Arachnid and Myriapod Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Botany) Fungi Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Botany) Bryophyte Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Botany) Seed Plant Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Botany) Pteridophyte Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Botany) Lichen Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Zoology) Fish Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Field Museum of Natural History (Zoology) Amphibian and Reptile Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr955","","","","3359"
"dr712","Fiocruz/COLFLEB - Coleção de Flebotomíneos","","Fiocruz/COLFLEB - Coleção de Flebotomíneos. v1.49. FIOCRUZ - Oswaldo Cruz Foundation. Dataset/Occurrence. http://www.splink.org.br/index?lang=pt","Creative Commons Zero (CC0) To the extent possible under law, the publisher has waived all rights to these data and has dedicated them to the Public Domain (CC0 1.0). Users may copy, modify, distribute and use the work, including for commercial purposes, without restriction.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr712","","","","892"
"dr954","GBIF repatriados | Centro Internacional de Agricultura Tropical - CIAT | CC BY - NC 4.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Vásquez Ordóñez A A (2022). A geographic distribution database of the cassava whitefly complex (Hemiptera, Aleyrodidae) and their associated parasitoids and hyperparasitoids (Hymenoptera). Version 11.4. Centro Internacional de Agricultura Tropical - CIAT. Occurrence dataset https://doi.org/10.15472/5eycqu accessed via GBIF.org on 2023-07-25.","other Dataset: A geographic distribution database of the cassava whitefly complex (Hemiptera, Aleyrodidae) and their associated parasitoids and hyperparasitoids (Hymenoptera)  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr954","","","","2"
"dr901","Fonoteca Neotropical Jacques Vielliard","","Fonoteca Neotropical Jacques Vielliard (FNJV), Museu de Zoologia Adão José Cardoso, Universidade Estadual de Campinas (UNICAMP).","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr901","","","","80"
"dr900","Coleção Ictiológica do Nupélia","","Coleção Ictiológica do Nupélia, NUP (http://www.nupelia.uem.br/colecao)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr900","","","","3486"
"dp3","Taxonline - Rede Paranaense de Coleções Biológicas","","Records provided by Taxonline - Rede Paranaense de Coleções Biológicas, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp3","","","","5742"
"dp5","Programa Reflora/CNPq","","Records provided by Programa Reflora/CNPq, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp5","","","","34319"
"dp4","Fundação Oswaldo Cruz","","Records provided by Fundação Oswaldo Cruz, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp4","","","","895"
"dp7","Museu Paraense Emilio Goeldi","","Records provided by Museu Paraense Emilio Goeldi, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp7","","","","143"
"dp6","SiBBr","","Records provided by SiBBr, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp6","","","","1"
"dp9","iNaturalist","","Records provided by iNaturalist, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp9","","","","15"
"dp8","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","","Records provided by Instituto de Pesquisas Jardim Botânico do Rio de Janeiro, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp8","","","","9250"
"dr807","Diptera Collection - Instituto Nacional de Pesquisas da Amazônia (INPA)","","Records provided by Diptera Collection - Instituto Nacional de Pesquisas da Amazônia (INPA), accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr807","","","","32"
"co0","Coleção Entomológica Padre Jesus Santiago Moure","","Records provided by Coleção Entomológica Padre Jesus Santiago Moure, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co0","","","","2300"
"dr809","Crustacea Collection - Instituto Nacional de Pesquisas da Amazônia (INPA)","","Records provided by Crustacea Collection - Instituto Nacional de Pesquisas da Amazônia (INPA), accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr809","","","","2"
"dr929","Coleção Entomológica do MNRJ - Diptera","","Coleção Entomológica do Museu Nacional do Rio de Janeiro - Diptera. v1.0. Museu Nacional / UFRJ. Dataset/Occurrence. https://ipt.sibbr.gov.br/mnrj/resource?r=mnrj_entomo_diptera_01&amp;v=1.0","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr929","","","","132"
"co6","Coleção de Peixes do INPA","","Records provided by Coleção de Peixes do INPA, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co6","","","","1"
"dr925","Coleção de Ascidiacea da Universidade Federal do Paraná","","Coleção de Ascidiacea da Universidade Federal do Paraná. Dataset/Occurrence. https://ipt.sibbr.gov.br/taxonline/resource?r=dzup_ascidiacea_01&amp;v=1.3","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr925","","","","4"
"dr910","Coleção de Peixes da Universidade Federal do Tocantins","","Records provided by Coleção de Peixes da Universidade Federal do Tocantins, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr910","","","","15"
"dr193","Base de dados de Mastozoologia do MZUSP","","Records provided by Base de dados de Mastozoologia do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr193","","","","3"
"dr192","Base de dados de Malacologia do MZUSP","","Records provided by Base de dados de Malacologia do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr192","","","","1441"
"dr194","Coleção de Carcinologia do MZUSP","","Coleção de Carcinologia do MZUSP. v1.70. No organization. Dataset/Occurrence. https://ipt.sibbr.gov.br/mzusp/resource?r=mzusp_carcinologia_01&amp;v=1.70","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr194","","","","45"
"dr190","Base de dados de Serpentes do MZUSP","","Records provided by Base de dados de Serpentes do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr190","","","","161"
"dr189","Base de dados de Lagartos do MZUSP","","Records provided by Base de dados de Lagartos do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr189","","","","10"
"dr186","Base de dados de Ictiologia do MZUSP","","Records provided by Base de dados de Ictiologia do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr186","","","","680"
"in22","Universidade Federal de Rondônia","","Records provided by Universidade Federal de Rondônia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in22","","","","7"
"in21","Universidade Federal Rio Grande do Norte","","Records provided by Universidade Federal Rio Grande do Norte, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in21","","","","24"
"in24","Universidade Federal de Sergipe","","Records provided by Universidade Federal de Sergipe, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in24","","","","565"
"dr188","Base de dados de Crocodilos do MZUSP","","Records provided by Base de dados de Crocodilos do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr188","","","","1"
"in23","Universidade Federal do Oeste do Pará","","Records provided by Universidade Federal do Oeste do Pará, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in23","","","","20"
"in26","Universidade Estadual de Campinas","","Records provided by Universidade Estadual de Campinas, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in26","","","","3295"
"in28","Instituto Agronômico do Norte","","Records provided by Instituto Agronômico do Norte, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in28","","","","5"
"in27","Universidade Federal do Mato Grosso do Sul","","Records provided by Universidade Federal do Mato Grosso do Sul, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in27","","","","1"
"in11","Universidade do Extremo Sul Catarinense","","Records provided by Universidade do Extremo Sul Catarinense, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in11","","","","2676"
"in10","Universidade de Brasília","","Records provided by Universidade de Brasília, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in10","","","","8"
"in12","Universidade Federal da Bahia","","Records provided by Universidade Federal da Bahia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in12","","","","567"
"in15","Universidade Federal de Pernambuco","","Records provided by Universidade Federal de Pernambuco, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in15","","","","148"
"in14","Universidade Federal de Mato Grosso","","Records provided by Universidade Federal de Mato Grosso, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in14","","","","5"
"in17","Universidade Federal do Tocantins","","Records provided by Universidade Federal do Tocantins, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in17","","","","15"
"in19","Universidade Federal de Minas Gerais","","Records provided by Universidade Federal de Minas Gerais, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in19","","","","1180"
"in41","Museu Botânico Municipal","","Records provided by Museu Botânico Municipal, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in41","","","","2120"
"in44","Embrapa Recursos Genéticos e Biotecnologia","","Records provided by Embrapa Recursos Genéticos e Biotecnologia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in44","","","","1458"
"in43","Universidade Estadual Paulista","","Records provided by Universidade Estadual Paulista, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in43","","","","573"
"in46","Universidade Federal de Juiz de Fora","","Records provided by Universidade Federal de Juiz de Fora, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in46","","","","453"
"in45","Comissão Executiva do Plano da Lavoura Cacaueira","","Records provided by Comissão Executiva do Plano da Lavoura Cacaueira, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in45","","","","67"
"in189","Instituto de Desenvolvimento Sustentável e Meio Ambiente","","Records provided by Instituto de Desenvolvimento Sustentável e Meio Ambiente, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in189","","","","2"
"in47","Embrapa Pantanal","","Records provided by Embrapa Pantanal, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in47","","","","272"
"in31","Universidade Estadual do Centro-Oeste","","Records provided by Universidade Estadual do Centro-Oeste, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in31","","","","108"
"in30","Pontifícia Universidade Católica do Paraná","","Records provided by Pontifícia Universidade Católica do Paraná, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in30","","","","723"
"in33","Universidade Tecnológica Federal do Paraná","","Records provided by Universidade Tecnológica Federal do Paraná, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in33","","","","8778"
"dr197","Base de dados de Diptera do MZUSP","","Records provided by Base de dados de Diptera do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr197","","","","17"
"in32","Universidade Estadual do Oeste do Paraná","","Records provided by Universidade Estadual do Oeste do Paraná, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in32","","","","7748"
"dr196","Base de dados de Coleoptera do MZUSP","","Records provided by Base de dados de Coleoptera do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr196","","","","61"
"dr199","Base de dados de Hymenoptera do MZUSP","","Records provided by Base de dados de Hymenoptera do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr199","","","","728"
"in36","Museu de Zoologia de São Paulo","","Records provided by Museu de Zoologia de São Paulo, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in36","","","","3828"
"in38","Universidade Federal da Paraíba","","Records provided by Universidade Federal da Paraíba, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in38","","","","14"
"co196","Coleção de Paleontologia do MZUSP","","Records provided by Coleção de Paleontologia do MZUSP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co196","","","","26"
"co195","Coleção de Aves do MZUSP","","Records provided by Coleção de Aves do MZUSP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co195","","","","134"
"dr270","Coleção Biológica Realeza da UFFS","","campus Realeza U F D F S - U, Pereira Villagra B L (2018): Universidade Federal da Fronteira Sul (UFFS) - Coleção Biológica Realeza (REAL). v1.0. No organisation. Dataset/Occurrence. https://ipt.sibbr.gov.br/parceiros_jbrj/resource?r=real_68&v=1.0","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr270","","","","794"
"dr272","HVASF - Herbário Vale do São Francisco","","As informações depositadas no HVASF possuem finalidade científica, tecnológica e educacional. Os dados do HVASF podem ser utilizados desde que: seja citada corretamente a fonte; a utilização não tenha fins comerciais; os dados não sejam comercializados. Sob nenhuma hipótese o HVASF e demais instituições relacionadas, poderão ser responsabilizados por quaisquer prejuízos materiais e/ou imateriais causados à pessoas fisícas e/ou jurídicas. Qualquer pessoa física e/ou jurídica é responsável pela maneira como os dados do HVASF são utilizados.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr272","","","","10"
"dr271","Herbário da Universidade Federal do Rio Grande do Norte","","Versieux L D M (2023): UFRN - Herbário da Universidade Federal do Rio Grande do Norte. Jabot - Banco de Dados da Flora Brasileira. v1.38. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=ufrn&v=1.38","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr271","","","","91"
"in71","Universidade Federal de São Carlos","","Records provided by Universidade Federal de São Carlos, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in71","","","","136"
"in62","Instituto Nacional da Mata Atlântica","","Records provided by Instituto Nacional da Mata Atlântica, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in62","","","","121"
"dr267","Herbário Irina Delanova Gemtchújnicov","","Herbário Irina Delanova Gemtchújnicov, BOTU","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr267","","","","181"
"in61","Universidade Federal dos Vales do Jequitinhonha e Mucuri","","Records provided by Universidade Federal dos Vales do Jequitinhonha e Mucuri, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in61","","","","79"
"dr266","Herbário da Universidade Federal de Minas Gerais","","Herbário BHCB","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr266","","","","1180"
"dr269","Herbário da Universidade Federal de Santa Catarina","","Venturi S, Souza J D P, Neves M A, Gurgel C F D (2023): FLOR - Herbário da Universidade Federal de Santa Catarina. Jabot - Banco de Dados da Flora Brasileira. v1.42. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=flor&v=1.42","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr269","","","","4574"
"in64","Universidade do Estado de Mato Grosso","","Records provided by Universidade do Estado de Mato Grosso, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in64","","","","5"
"dr268","Herbário da Universidade Regional de Blumenau","","Gasper A L D (2023): FURB - Herbário da Universidade Regional de Blumenau. Jabot - Banco de Dados da Flora Brasileira. v1.40. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=furb&v=1.40","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr268","","","","20634"
"dr263","Herbário da Escola Superior de Agricultura Luiz de Queiroz","","Herbário da Escola Superior de Agricultura Luiz de Queiroz, USP - www.lcb.esalq.usp.br","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr263","","","","22"
"dr262","Herbário Uberlandense","","Herbário Uberlandense (HUFU)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr262","","","","155"
"in68","Universidade Federal de Uberlândia","","Records provided by Universidade Federal de Uberlândia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in68","","","","155"
"in67","Universidade Paulista","","Records provided by Universidade Paulista, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in67","","","","97"
"in69","Universidade Federal da Integração Latino Americana","","Records provided by Universidade Federal da Integração Latino Americana, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in69","","","","375"
"dr382","GBIF repatriados | Espécimes repatriados da base de dados do National Center for Biotechnology Information","","Records provided by GBIF repatriados | Espécimes repatriados da base de dados do National Center for Biotechnology Information, accessed through ALA website.","Creative Commons Zero (CC0) To the extent possible under law, the publisher has waived all rights to these data and has dedicated them to the Public Domain (CC0 1.0). Users may copy, modify, distribute and use the work, including for commercial purposes, without restriction.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr382","","","","26779"
"dr261","Herbário do Centro de Pesquisas do Cacau","","CEPEC - Herbário do Centro de Pesquisas do Cacau","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr261","","","","67"
"dr260","Herbário da Embrapa Recursos Genéticos e Biotecnologia","","Herbário da Embrapa Recursos Genéticos e Biotecnologia, CEN","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr260","","","","1458"
"in51","Escola Superior de Agricultura Luiz de Queiroz","","Records provided by Escola Superior de Agricultura Luiz de Queiroz, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in51","","","","22"
"dr255","MBML-Herbario - Herbário Mello Leitão","","MBML-Herbario - Herbário Mello Leitão","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr255","","","","118"
"dr258","Herbário da Universidade de São Paulo (SPF)","","Records provided by Herbário da Universidade de São Paulo (SPF), accessed through ALA website.","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr258","","","","917"
"dr257","Herbário da UNIP","","Records provided by Herbário da UNIP, accessed through ALA website.","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr257","","","","97"
"dr252","Herbário da Universidade Estadual do Oeste do Paraná - UNOP","","Temponi L G (2023): UNOP - Herbário da Universidade Estadual do Oeste do Paraná. Jabot - Banco de Dados da Flora Brasileira. v1.26. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=unop&v=1.26","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr252","","","","1867"
"in157","Universidade Estadual do Tocantins","","Records provided by Universidade Estadual do Tocantins, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in157","","","","70"
